Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Casa;Rocha;2;0;0;50;800.0;0.0;0.0;16.0;Casa
Casa;Campo Grande;3;0;0;70;950.0;0.0;45.0;13.57;Casa
Apartamento;Leblon;3;1;1;125;15000.0;0.0;0.0;120.0;Apartmento
Apartamento;Santo Cristo;2;0;0;70;1000.0;0.0;0.0;14.29;Apartmento
Casa;Bonsucesso;1;0;0;50;600.0;0.0;0.0;12.0;Casa
Casa;Abolição;2;3;0;80;2300.0;0.0;192.0;28.75;Casa
Casa de Condomínio;Barra da Tijuca;5;6;3;300;10000.0;0.0;0.0;33.33;Casa
Casa de Vila;Botafogo;2;0;0;68;3500.0;0.0;0.0;51.47;Casa
Casa;Jardim Guanabara;3;4;1;200;3800.0;0.0;400.0;19.0;Casa
Apartamento;Copacabana;2;0;0;50;3000.0;0.0;0.0;60.0;Apartmento
Apartamento;Irajá;2;1;0;80;1700.0;0.0;100.0;21.25;Apartmento
Apartamento;Copacabana;2;0;0;35;2500.0;0.0;0.0;71.43;Apartmento
Casa de Condomínio;Realengo;2;0;0;90;900.0;0.0;0.0;10.0;Casa
Quitinete;São Cristóvão;1;0;0;40;850.0;0.0;0.0;21.25;Apartmento
Casa;Vila da Penha;2;0;0;36;700.0;0.0;0.0;19.44;Casa
Apartamento;Copacabana;4;2;2;345;22000.0;0.0;0.0;63.77;Apartmento
Casa;Jardim Botânico;4;4;4;451;20000.0;0.0;0.0;44.35;Casa
Apartamento;Copacabana;2;2;2;88;5500.0;0.0;0.0;62.5;Apartmento
Flat;Barra da Tijuca;1;0;1;25;1600.0;0.0;0.0;64.0;Apartmento
Casa de Vila;Taquara;1;0;0;60;1000.0;0.0;0.0;16.67;Casa
Casa;Jardim Botânico;4;3;4;452;20000.0;0.0;1749.0;44.25;Casa
Casa de Condomínio;Recreio dos Bandeirantes;3;1;1;240;3000.0;0.0;0.0;12.5;Casa
Apartamento;Copacabana;3;0;1;150;7500.0;0.0;0.0;50.0;Apartmento
Apartamento;Ipanema;2;1;1;75;5000.0;0.0;0.0;66.67;Apartmento
Casa;Cosmos;2;3;0;67;1000.0;0.0;0.0;14.93;Casa
Apartamento;Ipanema;2;1;2;120;8500.0;0.0;0.0;70.83;Apartmento
Casa;Moneró;3;3;1;220;3400.0;0.0;4500.0;15.45;Casa
Apartamento;Copacabana;3;0;0;120;2700.0;0.0;0.0;22.5;Apartmento
Apartamento;Copacabana;1;1;0;56;5000.0;0.0;0.0;89.29;Apartmento
Casa;Freguesia (Jacarepaguá);4;10;1;400;4900.0;0.0;0.0;12.25;Casa
Flat;São Conrado;1;1;1;25;2000.0;0.0;0.0;80.0;Apartmento
Apartamento;Barra da Tijuca;4;2;2;178;7509.0;0.0;0.0;42.19;Apartmento
Casa;Grajaú;1;0;0;30;1000.0;0.0;0.0;33.33;Casa
Casa;Praça Seca;4;1;1;252;2300.0;0.0;201.0;9.13;Casa
Apartamento;Méier;1;0;0;45;1000.0;0.0;0.0;22.22;Apartmento
Quitinete;Copacabana;1;0;0;20;1000.0;0.0;0.0;50.0;Apartmento
Apartamento;Praça Seca;2;0;0;50;800.0;0.0;16.0;16.0;Apartmento
Casa;Cosmos;3;0;0;60;800.0;0.0;0.0;13.33;Casa
Apartamento;Barra da Tijuca;3;0;3;120;6000.0;0.0;0.0;50.0;Apartmento
Apartamento;Inhaúma;1;0;0;45;750.0;0.0;0.0;16.67;Apartmento
Casa;Água Santa;1;1;0;40;1200.0;0.0;14.0;30.0;Casa
Casa;Santa Teresa;5;2;3;237;7000.0;0.0;120.0;29.54;Casa
Casa;Jardim Guanabara;3;6;1;325;3700.0;0.0;450.0;11.38;Casa
Casa;Barra da Tijuca;4;0;3;170;4500.0;0.0;0.0;26.47;Casa
Apartamento;Pedra de Guaratiba;1;0;0;42;460.0;0.0;0.0;10.95;Apartmento
Apartamento;Copacabana;2;0;1;70;3500.0;0.0;0.0;50.0;Apartmento
Apartamento;Madureira;2;1;0;69;750.0;0.0;0.0;10.87;Apartmento
Apartamento;Méier;2;0;0;69;1300.0;0.0;13.0;18.84;Apartmento
Apartamento;Campo Grande;2;1;0;60;1000.0;0.0;0.0;16.67;Apartmento
Casa de Vila;Ramos;2;0;0;70;1000.0;0.0;0.0;14.29;Casa
Casa;Jardim Botânico;4;4;4;845;35000.0;0.0;1794.0;41.42;Casa
Apartamento;Lagoa;4;4;4;400;18000.0;0.0;0.0;45.0;Apartmento
Casa;Campo Grande;3;1;1;122;1100.0;0.0;153.0;9.02;Casa
Apartamento;Praça da Bandeira;3;0;0;120;1700.0;0.0;0.0;14.17;Apartmento
Casa de Vila;Catumbi;1;0;0;45;900.0;0.0;6.0;20.0;Casa
Apartamento;Vila Isabel;2;0;0;54;1400.0;0.0;20.0;25.93;Apartmento
Casa;Encantado;4;2;1;180;2200.0;0.0;248.0;12.22;Casa
Casa;Abolição;2;0;0;360;2000.0;0.0;0.0;5.56;Casa
Apartamento;Vila da Penha;1;0;0;27;750.0;0.0;0.0;27.78;Apartmento
Casa;Tijuca;7;4;0;400;10000.0;0.0;283.0;25.0;Casa
